stock_company,stock_code
KYM HOLDINGS BERHAD,8362.KL
LAGENDA PROPERTIES BERHAD,7179.KL
LAMBO GROUP BERHAD,0018.KL
LAND & GENERAL BERHAD,3174.KL
LANDMARKS BERHAD,1643.KL
LAY HONG BERHAD,9385.KL
LB ALUMINIUM BERHAD,9326.KL
LBI CAPITAL BERHAD,8494.KL
LBS BINA GROUP BERHAD,5789.KL
LEADER STEEL HOLDINGS BERHAD,9881.KL
LEBTECH BERHAD,9628.KL
LEE SWEE KIAT GROUP BERHAD,8079.KL
LEON FUAT BERHAD,5232.KL
LEONG HUP INTERNATIONAL BERHAD,6633.KL
LFE CORPORATION BERHAD,7170.KL
LGMS BERHAD,0249.KL
LIEN HOE CORPORATION BERHAD,3573.KL
LII HEN INDUSTRIES BHD.,7089.KL
LIM SEONG HAI CAPITAL BERHAD,03047.KL
LINGKARAN TRANS KOTA HOLDINGS BERHAD,6645.KL
LION INDUSTRIES CORPORATION BERHAD,4235.KL
LION POSIM BERHAD,8486.KL
LKL INTERNATIONAL BERHAD,0182.KL
LOTTE CHEMICAL TITAN HOLDING BERHAD,5284.KL
LOTUS KFM BERHAD,8303.KL
LPI CAPITAL BHD,8621.KL
LTKM BERHAD,7085.KL
LUSTER INDUSTRIES BHD.,5068.KL
LUXCHEM CORPORATION BERHAD,5143.KL
LYC HEALTHCARE BERHAD,0075.KL
LYSAGHT GALVANIZED STEEL BERHAD,9199.KL
M N C WIRELESS BERHAD,0103.KL
MAA GROUP BERHAD,1198.KL
MAG HOLDINGS BERHAD,0095.KL
MAGNA PRIMA BERHAD,7617.KL
MAGNI-TECH INDUSTRIES BERHAD,7087.KL
MAGNUM BERHAD,3859.KL
MAH SING GROUP BERHAD,8583.KL
MAJUPERAK HOLDINGS BERHAD,8141.KL
MALAKOFF CORPORATION BERHAD,5264.KL
MALAYAN BANKING BERHAD,1155.KL
MALAYAN CEMENT BERHAD,3794.KL
MALAYAN FLOUR MILLS BERHAD,3662.KL
MALAYAN UNITED INDUSTRIES BERHAD,3891.KL
MALAYSIA AIRPORTS HOLDINGS BERHAD,5014.KL
MALAYSIA BUILDING SOCIETY BERHAD,1171.KL
MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,5186.KL
MALAYSIA PACIFIC CORPORATION BERHAD,6548.KL
MALAYSIA SMELTING CORPORATION BERHAD,5916.KL
MALAYSIA STEEL WORKS (KL) BHD,5098.KL
MALAYSIAN BULK CARRIERS BERHAD,5077.KL
MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,0155.KL
MALAYSIAN PACIFIC INDUSTRIES BERHAD,3867.KL
MALAYSIAN RESOURCES CORPORATION BERHAD,1651.KL
MALPAC HOLDINGS BERHAD,4936.KL
MALTON BERHAD,6181.KL
MANAGEPAY SYSTEMS BERHAD,0156.KL
MANFORCE GROUP BERHAD,03015.KL
MANULIFE HOLDINGS BERHAD,1058.KL
MARCO HOLDINGS BERHAD,3514.KL
MARINE & GENERAL BERHAD,5078.KL
MASTER-PACK GROUP BERHAD,7029.KL
MATANG BERHAD,0189.KL
MATRIX CONCEPTS HOLDINGS BERHAD,5236.KL
MATRIX PARKING SOLUTION HOLDINGS BERHAD,03019.KL
MAXIM GLOBAL BERHAD,4022.KL
MAXIS BERHAD,6012.KL
MBM RESOURCES BHD,5983.KL
MCE HOLDINGS BERHAD,7004.KL
MCLEAN TECHNOLOGIES BERHAD,0167.KL
MCOM HOLDINGS BERHAD,03022.KL
MCT BERHAD,5182.KL
MEDIA CHINESE INTERNATIONAL LIMITED,5090.KL
MEDIA PRIMA BERHAD,4502.KL
MEGA FIRST CORPORATION BERHAD,3069.KL
MEGA SUN CITY HOLDINGS BERHAD,0081.KL
MELATI EHSAN HOLDINGS BERHAD,5129.KL
MELEWAR INDUSTRIAL GROUP BERHAD,3778.KL
MENANG CORPORATION (M) BERHAD,1694.KL
MENTIGA CORPORATION BERHAD,5223.KL
MERCURY INDUSTRIES BERHAD,8192.KL
MERIDIAN BERHAD,5040.KL
MESB BERHAD,7234.KL
MESINIAGA BERHAD,5011.KL
MESTRON HOLDINGS BERHAD,0207.KL
METRO HEALTHCARE BERHAD,03005.KL
METROD HOLDINGS BERHAD,6149.KL
METRONIC GLOBAL BERHAD,0043.KL
MGB BERHAD,7595.KL
MHC PLANTATIONS BHD,5026.KL
MI TECHNOVATION BERHAD,5286.KL
MICROLINK SOLUTIONS BERHAD,0126.KL
MIECO CHIPBOARD BERHAD,5001.KL
MIKRO MSC BERHAD,0112.KL
MILUX CORPORATION BERHAD,7935.KL
MINDA GLOBAL BERHAD,5166.KL
MINETECH RESOURCES BERHAD,7219.KL
MINHO (M) BERHAD,5576.KL
MISC BERHAD,3816.KL
MITRAJAYA HOLDINGS BERHAD,9571.KL
MK LAND HOLDINGS BERHAD,8893.KL
MKH BERHAD,6114.KL
MLABS SYSTEMS BERHAD,0085.KL
MMAG HOLDINGS BERHAD,0034.KL
MMIS BERHAD,03027.KL
MMS VENTURES BERHAD,0113.KL
MN HOLDINGS BERHAD,0245.KL
MNRB HOLDINGS BERHAD,6459.KL
MOBILIA HOLDINGS BERHAD,0229.KL
MPHB CAPITAL BERHAD,5237.KL
